5564	84	71	1
5588	89	77	1
5589	98	75	1
5598	88	72	1
5599	94	94	0
5599	88	72	1
5599	95	76	0
5600	88	72	1
5600	88	72	1
5608	88	95	0
5615	91	78	1
5650	84	93	0
5697	76	78	1
5717	85	80	0
5722	97	92	0
6134	92	70	1
6135	92	70	1
6136	91	72	1
6150	92	71	1
6200	90	71	1
6216	89	76	0
6256	100	81	0
6263	96	74	1
6266	88	73	1
6275	99	75	1
6292	96	77	0
6363	95	73	1
6370	84	75	1
6371	84	75	1
6396	100	76	1
6410	88	76	0
6440	99	89	0
6457	91	81	0
6478	98	91	0
6508	95	83	0
6511	84	83	1
6517	90	94	0
6523	89	81	0
6531	91	95	0
6595	80	81	1
6596	80	81	1
6597	80	81	1
6597	96	78	1
6609	89	95	0
6653	83	73	1
6663	83	76	1
6674	100	77	1
6684	93	72	1
6772	91	11	0
6822	97	93	0
6880	91	70	0
6946	81	90	0
7098	98	84	1
7190	92	75	0
7198	83	75	1
7206	96	79	0
7298	92	95	0
7345	81	78	1
7382	96	83	0
7462	83	81	0
7467	84	77	0
7478	81	79	1
7483	84	92	0
7523	92	66	1
7587	90	95	0
7633	93	91	0
7644	82	77	1
7656	83	91	0
7707	83	92	0
7756	89	72	1
7771	84	79	1
7826	89	76	0
7837	89	82	0
7844	82	91	0
7851	92	94	0
7904	90	76	0
7905	85	74	1
7908	93	75	0
7920	92	79	1
8044	93	77	0
8107	99	76	1
8120	96	94	0
8138	85	81	0
8158	80	80	1
8159	80	80	1
8160	80	80	1
8192	86	94	0
8291	98	72	1
8292	98	72	1
8303	91	71	0
8305	85	67	1
8340	88	77	1
8463	98	68	1
8465	91	93	0
8564	85	86	0
8579	97	74	1
8601	84	93	0
8647	91	77	0
8677	94	93	0
8684	87	73	1
8706	87	75	0
8728	91	83	0
8836	79	82	1
8837	79	82	1
8846	86	91	0
8847	94	73	1
9039	90	70	1
9041	96	79	0
9051	98	79	0
9168	96	81	0
9244	86	71	1
9272	89	66	1
9396	101	89	0
9420	91	16	0
9426	88	95	0
9549	87	77	1
9582	93	73	1
9626	80	86	1
9627	80	86	1
9714	99	91	0
9715	101	79	1
9734	83	87	0
9735	81	77	1
9736	81	77	1
9864	89	93	0
9996	80	78	1
10021	79	76	1
10024	87	91	0
10032	87	74	1
10072	96	72	1
10073	96	72	1
10085	85	94	0
10103	87	80	0
10105	60	116	0
10121	81	76	1
10132	88	72	1
10133	88	72	1
10262	82	91	0
10272	60	58	0
10304	96	74	1
10360	81	85	1
10399	95	81	1
10448	80	75	1
10543	90	77	1
10564	89	73	1
10606	89	81	0
10641	79	84	1
10646	91	55	0
10669	95	89	0
10749	91	27	0
10754	95	73	1
10764	84	75	1
10773	91	77	0
10830	89	78	1
10887	83	76	1
10907	60	64	0
10925	87	95	0
10979	83	82	0
11004	94	83	0
11008	89	71	1
11104	98	75	1
11105	98	75	1
11105	98	75	1
11119	96	82	1
11182	80	80	1
11183	80	80	1
11183	80	80	1
11205	90	73	1
11216	97	73	1
11233	92	94	0
11245	92	73	1
11254	97	78	0
11254	98	83	1
11268	98	90	0
11273	87	90	0
11276	88	73	1
11281	94	79	1
11286	88	85	0
11328	81	78	1
11344	91	75	0
11368	91	73	1
11378	82	77	1
11379	91	15	0
11379	82	77	1
11456	80	81	1
11496	86	73	1
11497	86	73	1
11509	92	77	0
11517	101	78	1
11521	86	75	1
11541	89	1	1
11551	100	90	0
11577	97	89	0
11579	94	78	0
11590	90	95	0
11661	93	94	0
11662	90	87	0
11674	89	72	1
11691	86	82	0
11795	89	70	1
11894	101	74	1
11914	82	76	1
11915	94	92	0
11958	95	79	0
11984	97	75	1
12101	61	38	0
12130	95	94	0
12151	102	83	1
12155	87	76	0
12176	87	73	1
12194	91	95	0
12214	85	88	0
12256	99	92	0
12363	89	77	0
12392	89	93	0
12425	92	69	1
12535	94	85	0
12554	97	93	0
12576	93	73	1
12579	63	54	0
12624	63	30	0
12740	88	76	0
12749	90	71	1
12776	92	75	0
12798	84	78	0
12810	63	37	0
12819	83	81	0
12834	88	95	0
12834	93	76	0
12864	88	88	0
12875	93	80	1
12975	94	73	1
12991	83	85	0
13002	86	74	1
13063	83	80	0
13068	86	81	0
13085	99	80	0
13117	85	91	1
13177	85	94	0
13201	81	79	1
13234	100	78	1
13241	87	87	0
13249	62	30	0
13266	94	91	0
13315	99	77	1
13350	90	88	0
13406	96	94	0
13411	92	95	0
13426	88	85	0
13457	83	83	0
13480	88	94	0
13527	96	74	1
13551	85	75	1
13559	84	84	1
13696	88	73	1
13727	88	89	0
13821	97	81	0
13851	91	91	0
13933	85	74	1
13941	87	95	0
13945	90	73	1
13983	79	83	1
13984	79	83	1
14062	89	95	0
14121	85	82	0
14144	84	75	1
14209	80	82	1
14302	61	57	0
14309	91	94	0
14356	87	77	1
14416	63	85	0
14427	95	74	1
14429	99	86	1
14430	99	86	1
14492	91	76	0
14513	99	76	1
14590	83	92	0
14615	84	93	0
14624	85	70	1
14642	80	80	1
14643	80	80	1
14751	83	76	1
14752	85	77	1
14852	86	94	0
14856	85	76	0
14935	88	75	0
14949	81	90	0
15086	90	72	1
15145	82	78	1
15237	85	80	0
15296	91	83	0
15389	80	87	1
15391	80	87	1
15409	90	76	0
15416	92	84	0
15458	100	82	0
15499	83	77	1
15517	82	82	0
15632	100	77	1
15636	90	93	0
15687	88	85	0
15730	96	86	0
15745	98	82	0
15748	86	91	0
15785	96	80	0
15843	91	79	1
15877	90	77	0
15967	85	93	0
16039	97	82	1
16044	91	19	0
16103	89	72	1
16110	93	91	0
16115	83	93	0
16121	88	74	1
16147	94	95	0
16168	93	95	0
16186	83	90	0
16193	97	88	0
16196	87	95	0
16251	89	77	0
16274	77	74	1
16306	87	74	1
16328	82	77	1
16329	93	77	1
16335	89	90	0
16363	97	81	0
16382	93	73	1
16384	80	81	1
16385	80	81	1
16386	80	81	1
16390	86	74	1
16444	93	76	0
16455	88	93	0
16462	96	89	0
16481	94	74	1
16513	91	77	0
16548	90	95	0
16553	81	90	0
16594	81	89	0
16606	86	94	0
16621	85	94	0
16627	96	90	0
16654	98	85	1
16835	98	76	1
16908	82	83	0
16949	97	75	1
16983	86	92	0
17074	92	73	1
17075	92	73	1
17217	100	91	0
17226	102	84	1
17345	98	79	0
17363	93	85	0
17380	88	95	0
17409	90	53	1
17413	81	79	1
17414	81	79	1
17415	81	79	1
17424	98	89	0
17453	94	90	0
17486	90	4	1
17506	90	77	0
17544	95	79	0
17579	91	95	0
17629	84	81	1
17644	90	17	1
17748	88	73	1
17765	95	74	1
